price_reference_date,context_start_date,target_date,prediction_date,reference_price,summarized_context,predicted_price,actual_price,predicted_change_pct,actual_change_pct,llm_reasoning,llm_reflection,btc_price_array
2024-10-03,2024-10-08,2024-10-10,2024-10-11,,,,,,,,,"[60632.48, 60754.63, 62067.61, 62084.99, 62819.11, 62221.64, 62131.73, 60581.93]"
2024-10-10,2024-10-15,2024-10-17,2024-10-18,,,,,,,,,"[60581.93, 60275.46, 62444.62, 63192.95, 62848.4, 66050.37, 67042.46, 67617.08]"
2024-10-17,2024-10-22,2024-10-24,2024-10-25,,,,,,,,,"[67617.08, 67419.11, 68418.98, 68364.18, 69002.0, 67360.7, 67362.38, 66653.7]"
2024-10-24,2024-10-29,2024-10-31,2024-11-01,,,,,,,,,"[66653.7, 68165.3, 66628.73, 67023.48, 67922.67, 69910.05, 72715.37, 72335.05]"
2024-10-31,2024-11-05,2024-11-07,2024-11-08,,,,,,,,,"[72335.05, 70216.9, 69486.02, 69296.38, 68742.13, 67811.17, 69358.5, 75637.09]"
2024-11-07,2024-11-12,2024-11-14,2024-11-15,,,,,,,,,"[75637.09, 75902.84, 76556.19, 76775.55, 80471.41, 88705.56, 87929.97, 90574.88]"
2024-11-14,2024-11-19,2024-11-21,2024-11-22,,,,,,,,,"[90574.88, 87284.18, 91064.37, 90558.46, 89843.72, 90536.81, 92341.89, 94334.64]"
2024-11-21,2024-11-26,2024-11-28,2024-11-29,,,,,,,,,"[94334.64, 98496.43, 99006.74, 97778.09, 98033.45, 93087.28, 91978.14, 95954.95]"
2024-11-28,2024-12-03,2024-12-05,2024-12-06,,,,,,,,,"[95954.95, 95653.95, 97468.81, 96461.34, 97276.01, 95854.59, 95988.53, 98741.54]"
2024-12-05,2024-12-10,2024-12-12,2024-12-13,,,,,,,,,"[98741.54, 97074.23, 99916.71, 99921.91, 101237.06, 97441.23, 96656.06, 101167.8]"
2024-12-12,2024-12-17,2024-12-19,2024-12-20,,,,,,,,,"[101167.8, 100046.65, 101451.44, 101373.53, 104293.58, 106030.69, 106147.3, 100070.69]"
2024-12-19,2024-12-24,2024-12-26,2024-12-27,,,,,,,,,"[100070.69, 97484.7, 97756.2, 97218.32, 95099.39, 94684.34, 98675.91, 99297.7]"
2024-12-26,2024-12-31,2025-01-02,2025-01-03,,,,,,,,,"[99297.7, 95704.98, 94160.19, 95174.05, 93527.2, 92643.25, 93425.1, 94416.29]"
2025-01-02,2025-01-07,2025-01-09,2025-01-10,,,,,,,,,"[94416.29, 96881.73, 98106.99, 98233.91, 98314.95, 102248.85, 96924.16, 95043.48]"
2025-01-09,2025-01-14,2025-01-16,2025-01-17,,,,,,,,,"[95043.48, 92494.49, 94700.84, 94565.73, 94488.89, 94519.01, 96534.05, 100505.3]"
2025-01-16,2025-01-21,2025-01-23,2025-01-24,,,,,,,,,"[100505.3, 100025.77, 104124.95, 104411.29, 101083.75, 102052.58, 106136.38, 103657.67]"
2025-01-23,2025-01-28,2025-01-30,2025-01-31,,,,,,,,,"[103657.67, 103965.67, 104824.03, 104713.21, 102680.3, 102095.41, 101317.52, 103709.34]"
2025-01-30,2025-02-04,2025-02-06,2025-02-07,,,,,,,,,"[103709.34, 104737.56, 102402.8, 100661.54, 97681.1, 101398.72, 97878.01, 96610.64]"
2025-02-06,2025-02-11,2025-02-13,2025-02-14,,,,,,,,,"[96610.64, 96581.32, 96533.26, 96481.31, 96499.46, 97438.13, 95745.7, 97888.75]"
2025-02-13,2025-02-18,2025-02-20,2025-02-21,,,,,,,,,"[97888.75, 96623.37, 97508.38, 97580.49, 96179.01, 95773.81, 95532.53, 96632.68]"
2025-02-20,2025-02-25,2025-02-27,2025-02-28,,,,,,,,,"[96632.68, 98340.67, 96134.2, 96577.8, 96277.96, 91437.12, 88638.89, 84076.86]"
2025-02-27,2025-03-04,2025-03-06,2025-03-07,,,,,,,,,"[84076.86, 84705.63, 84373.87, 86036.26, 94248.42, 86064.07, 87222.95, 90622.36]"
2025-03-06,2025-03-11,2025-03-13,2025-03-14,,,,,,,,,"[90622.36, 89963.28, 86742.66, 86154.3, 80597.15, 78523.88, 82857.38, 83724.92]"
2025-03-13,2025-03-18,2025-03-20,2025-03-21,,,,,,,,,"[83724.92, 81066.99, 83968.41, 84333.32, 82576.34, 84075.72, 82718.8, 86872.95]"
2025-03-20,2025-03-25,2025-03-27,2025-03-28,,,,,,,,,"[86872.95, 84164.54, 84046.26, 83831.9, 86070.93, 87512.82, 87460.23, 86896.26]"
2025-03-27,2025-04-01,2025-04-03,2025-04-04,,,,,,,,,"[86896.26, 87185.23, 84352.07, 82596.98, 82336.06, 82551.92, 85180.61, 82487.48]"
2025-04-03,2025-04-08,2025-04-10,2025-04-11,,,,,,,,,"[82487.48, 83100.25, 83844.7, 83504.51, 78221.34, 79218.48, 76273.56, 82565.98]"
2025-04-10,2025-04-15,2025-04-17,2025-04-18,,,,,,,,,"[82565.98, 79625.05, 83404.52, 85279.47, 83694.52, 84539.7, 83674.51, 84030.67]"
2025-04-17,2025-04-22,2025-04-24,2025-04-25,,,,,,,,,"[84030.67, 84900.19, 84450.87, 85066.07, 85171.54, 87521.88, 93427.59, 93692.4]"
2025-04-24,2025-04-29,2025-05-01,2025-05-02,,,,,,,,,"[93692.4, 93954.25, 94714.65, 94660.91, 93755.3, 94981.86, 94286.47, 94212.86]"
2025-05-01,2025-05-06,2025-05-08,2025-05-09,,,,,,,,,"[94212.86, 96494.97, 96904.63, 95877.19, 94319.56, 94748.38, 96800.2, 97034.25]"
2025-05-08,2025-05-13,2025-05-15,2025-05-16,,,,,,,,,"[97034.25, 103239.13, 102973.71, 104701.07, 104106.96, 102812.49, 104167.33, 103538.83]"
2025-05-15,2025-05-20,2025-05-22,2025-05-23,,,,,,,,,"[103538.83, 103735.66, 103489.29, 103186.95, 106430.53, 105605.41, 106791.31, 109673.49]"
2025-05-22,2025-05-27,2025-05-29,2025-05-30,,,,,,,,,"[109673.49, 111679.36, 107278.51, 107802.27, 109023.78, 109440.41, 108992.17, 107795.57]"
2025-05-29,2025-06-03,2025-06-05,2025-06-06,,,,,,,,,"[107795.57, 105646.21, 103994.72, 104637.3, 105649.81, 105888.48, 105434.37, 104750.78]"
2025-06-05,2025-06-10,2025-06-12,2025-06-13,,,,,,,,,"[104750.78, 101574.37, 104390.65, 105617.51, 105793.02, 110295.69, 110261.8, 108685.91]"
2025-06-12,2025-06-17,2025-06-19,2025-06-20,,,,,,,,,"[108685.91, 105924.59, 106108.09, 105464.84, 105555.59, 106794.12, 104602.07, 104886.77]"
2025-06-19,2025-06-24,2025-06-26,2025-06-27,,,,,,,,,"[104886.77, 104681.03, 103315.08, 102212.03, 100987.48, 105571.52, 106047.41, 107375.07]"
2025-06-26,2025-07-01,2025-07-03,2025-07-04,,,,,,,,,"[107375.07, 106954.92, 107090.55, 107327.82, 108383.44, 107144.38, 105703.1, 108845.02]"
2025-07-03,2025-07-08,2025-07-10,2025-07-11,,,,,,,,,"[108845.02, 109635.66, 108015.84, 108231.19, 109235.33, 108298.23, 108950.27, 111329.2]"
2025-07-08,2025-07-13,2025-07-15,2025-07-16,,,,,, ,,,"[108298.23, 108950.27, 111329.2, 115986.23, 117530.71, 117432.2, 119115.79, 119850.57]"
