price_reference_date,context_start_date,target_date,prediction_date,reference_price,summarized_context,predicted_price,actual_price,predicted_change_pct,actual_change_pct,llm_reasoning,llm_reflection,btc_price_array,eth_price_array
2024-11-14,2024-11-19,2024-11-21,2024-11-22,,,,,,,,,"[90574.88, 87284.18, 91064.37, 90558.46, 89843.72, 90536.81, 92341.89, 94334.64]","[3192.52, 3059.53, 3089.74, 3133.31, 3075.72, 3208.25, 3111.12, 3072.06]"
2024-11-21,2024-11-26,2024-11-28,2024-11-29,,,,,,,,,"[94334.64, 98496.43, 99006.74, 97778.09, 98033.45, 93087.28, 91978.14, 95954.95]","[3072.06, 3360.65, 3331.65, 3397.0, 3364.6, 3412.95, 3326.03, 3656.61]"
2024-11-28,2024-12-03,2024-12-05,2024-12-06,,,,,,,,,"[95954.95, 95653.95, 97468.81, 96461.34, 97276.01, 95854.59, 95988.53, 98741.54]","[3656.61, 3579.91, 3593.6, 3706.62, 3710.5, 3643.74, 3620.04, 3840.84]"
2024-12-05,2024-12-10,2024-12-12,2024-12-13,,,,,,,,,"[98741.54, 97074.23, 99916.71, 99921.91, 101237.06, 97441.23, 96656.06, 101167.8]","[3840.84, 3792.21, 4006.03, 4007.69, 4006.1, 3719.0, 3631.28, 3833.17]"
2024-12-12,2024-12-17,2024-12-19,2024-12-20,,,,,,,,,"[101167.8, 100046.65, 101451.44, 101373.53, 104293.58, 106030.69, 106147.3, 100070.69]","[3833.17, 3883.03, 3910.85, 3868.44, 3951.65, 3987.33, 3886.89, 3619.58]"
2024-12-19,2024-12-24,2024-12-26,2024-12-27,,,,,,,,,"[100070.69, 97484.7, 97756.2, 97218.32, 95099.39, 94684.34, 98675.91, 99297.7]","[3619.58, 3417.93, 3472.59, 3337.0, 3277.51, 3415.74, 3491.96, 3493.3]"
2024-12-26,2024-12-31,2025-01-02,2025-01-03,,,,,,,,,"[99297.7, 95704.98, 94160.19, 95174.05, 93527.2, 92643.25, 93425.1, 94416.29]","[3493.3, 3331.05, 3328.77, 3397.86, 3349.59, 3356.39, 3332.41, 3353.41]"
2025-01-02,2025-01-07,2025-01-09,2025-01-10,,,,,,,,,"[94416.29, 96881.73, 98106.99, 98233.91, 98314.95, 102248.85, 96924.16, 95043.48]","[3353.41, 3451.68, 3605.2, 3657.74, 3634.11, 3688.34, 3381.62, 3326.36]"
2025-01-09,2025-01-14,2025-01-16,2025-01-17,,,,,,,,,"[95043.48, 92494.49, 94700.84, 94565.73, 94488.89, 94519.01, 96534.05, 100505.3]","[3326.36, 3219.5, 3267.52, 3282.15, 3266.1, 3135.67, 3223.68, 3450.31]"
2025-01-16,2025-01-21,2025-01-23,2025-01-24,,,,,,,,,"[100505.3, 100025.77, 104124.95, 104411.29, 101083.75, 102052.58, 106136.38, 103657.67]","[3450.31, 3308.19, 3473.56, 3305.4, 3208.93, 3278.44, 3327.24, 3240.48]"
2025-01-23,2025-01-28,2025-01-30,2025-01-31,,,,,,,,,"[103657.67, 103965.67, 104824.03, 104713.21, 102680.3, 102095.41, 101317.52, 103709.34]","[3240.48, 3334.81, 3309.71, 3317.29, 3235.86, 3179.09, 3076.38, 3113.29]"
2025-01-30,2025-02-04,2025-02-06,2025-02-07,,,,,,,,,"[103709.34, 104737.56, 102402.8, 100661.54, 97681.1, 101398.72, 97878.01, 96610.64]","[3113.29, 3247.87, 3298.82, 3118.61, 2868.08, 2883.82, 2735.23, 2787.66]"
2025-02-06,2025-02-11,2025-02-13,2025-02-14,,,,,,,,,"[96610.64, 96581.32, 96533.26, 96481.31, 96499.46, 97438.13, 95745.7, 97888.75]","[2787.66, 2688.9, 2623.0, 2632.58, 2628.65, 2661.32, 2602.83, 2737.03]"
2025-02-13,2025-02-18,2025-02-20,2025-02-21,,,,,,,,,"[97888.75, 96623.37, 97508.38, 97580.49, 96179.01, 95773.81, 95532.53, 96632.68]","[2737.03, 2675.94, 2726.07, 2693.56, 2663.23, 2743.02, 2669.21, 2715.68]"
2025-02-20,2025-02-25,2025-02-27,2025-02-28,,,,,,,,,"[96632.68, 98340.67, 96134.2, 96577.8, 96277.96, 91437.12, 88638.89, 84076.86]","[2715.68, 2740.02, 2660.04, 2764.03, 2820.46, 2514.21, 2493.38, 2331.51]"
2025-02-27,2025-03-04,2025-03-06,2025-03-07,,,,,,,,,"[84076.86, 84705.63, 84373.87, 86036.26, 94248.42, 86064.07, 87222.95, 90622.36]","[2331.51, 2305.56, 2237.94, 2216.52, 2519.53, 2145.65, 2169.99, 2241.91]"
2025-03-06,2025-03-11,2025-03-13,2025-03-14,,,,,,,,,"[90622.36, 89963.28, 86742.66, 86154.3, 80597.15, 78523.88, 82857.38, 83724.92]","[2241.91, 2202.5, 2139.8, 2201.71, 2015.43, 1859.78, 1919.66, 1909.02]"
2025-03-13,2025-03-18,2025-03-20,2025-03-21,,,,,,,,,"[83724.92, 81066.99, 83968.41, 84333.32, 82576.34, 84075.72, 82718.8, 86872.95]","[1909.02, 1863.0, 1909.53, 1937.38, 1887.45, 1927.01, 1932.54, 2057.95]"
2025-03-20,2025-03-25,2025-03-27,2025-03-28,,,,,,,,,"[86872.95, 84164.54, 84046.26, 83831.9, 86070.93, 87512.82, 87460.23, 86896.26]","[2057.95, 1981.85, 1964.94, 1979.98, 2005.72, 2078.57, 2067.51, 2008.94]"
2025-03-27,2025-04-01,2025-04-03,2025-04-04,,,,,,,,,"[86896.26, 87185.23, 84352.07, 82596.98, 82336.06, 82551.92, 85180.61, 82487.48]","[2008.94, 2002.41, 1895.55, 1827.31, 1806.32, 1823.56, 1905.48, 1794.98]"
2025-04-03,2025-04-08,2025-04-10,2025-04-11,,,,,,,,,"[82487.48, 83100.25, 83844.7, 83504.51, 78221.34, 79218.48, 76273.56, 82565.98]","[1794.98, 1815.61, 1815.34, 1805.96, 1576.95, 1554.93, 1472.6, 1668.2]"
2025-04-10,2025-04-15,2025-04-17,2025-04-18,,,,,,,,,"[82565.98, 79625.05, 83404.52, 85279.47, 83694.52, 84539.7, 83674.51, 84030.67]","[1668.2, 1522.47, 1567.16, 1643.5, 1596.88, 1622.77, 1589.03, 1578.01]"
2025-04-17,2025-04-22,2025-04-24,2025-04-25,,,,,,,,,"[84030.67, 84900.19, 84450.87, 85066.07, 85171.54, 87521.88, 93427.59, 93692.4]","[1578.01, 1582.4, 1588.97, 1612.97, 1587.46, 1579.82, 1757.2, 1795.98]"
2025-04-24,2025-04-29,2025-05-01,2025-05-02,,,,,,,,,"[93692.4, 93954.25, 94714.65, 94660.91, 93755.3, 94981.86, 94286.47, 94212.86]","[1795.98, 1770.0, 1786.53, 1822.18, 1792.45, 1798.91, 1799.21, 1794.04]"
2025-05-01,2025-05-06,2025-05-08,2025-05-09,,,,,,,,,"[94212.86, 96494.97, 96904.63, 95877.19, 94319.56, 94748.38, 96800.2, 97034.25]","[1794.04, 1839.17, 1842.72, 1833.65, 1808.7, 1819.73, 1815.02, 1811.55]"
2025-05-08,2025-05-13,2025-05-15,2025-05-16,,,,,,,,,"[97034.25, 103239.13, 102973.71, 104701.07, 104106.96, 102812.49, 104167.33, 103538.83]","[1811.55, 2206.13, 2345.76, 2582.71, 2510.29, 2496.34, 2680.26, 2610.03]"
2025-05-15,2025-05-20,2025-05-22,2025-05-23,,,,,,,,,"[103538.83, 103735.66, 103489.29, 103186.95, 106430.53, 105605.41, 106791.31, 109673.49]","[2610.03, 2547.06, 2536.3, 2475.77, 2498.8, 2529.14, 2524.16, 2552.77]"
2025-05-22,2025-05-27,2025-05-29,2025-05-30,,,,,,,,,"[109673.49, 111679.36, 107278.51, 107802.27, 109023.78, 109440.41, 108992.17, 107795.57]","[2552.77, 2664.08, 2526.39, 2530.89, 2551.38, 2564.14, 2663.01, 2681.84]"
2025-05-29,2025-06-03,2025-06-05,2025-06-06,,,,,,,,,"[107795.57, 105646.21, 103994.72, 104637.3, 105649.81, 105888.48, 105434.37, 104750.78]","[2681.84, 2632.84, 2529.83, 2529.1, 2536.18, 2607.2, 2593.48, 2608.61]"
2025-06-05,2025-06-10,2025-06-12,2025-06-13,,,,,,,,,"[104750.78, 101574.37, 104390.65, 105617.51, 105793.02, 110295.69, 110261.8, 108685.91]","[2608.61, 2416.46, 2477.18, 2526.19, 2510.84, 2681.29, 2813.74, 2773.6]"
2025-06-12,2025-06-17,2025-06-19,2025-06-20,,,,,,,,,"[108685.91, 105924.59, 106108.09, 105464.84, 105555.59, 106794.12, 104602.07, 104886.77]","[2773.6, 2651.92, 2579.72, 2533.18, 2547.23, 2540.31, 2510.82, 2524.4]"
2025-06-19,2025-06-24,2025-06-26,2025-06-27,,,,,,,,,"[104886.77, 104681.03, 103315.08, 102212.03, 100987.48, 105571.52, 106047.41, 107375.07]","[2524.4, 2521.53, 2407.35, 2298.84, 2228.48, 2421.83, 2448.74, 2419.15]"
2025-06-26,2025-07-01,2025-07-03,2025-07-04,,,,,,,,,"[107375.07, 106954.92, 107090.55, 107327.82, 108383.44, 107144.38, 105703.1, 108845.02]","[2419.15, 2416.02, 2423.93, 2437.11, 2500.61, 2486.43, 2405.86, 2570.8]"
2025-07-03,2025-07-08,2025-07-10,2025-07-11,,,,,,,,,"[108845.02, 109635.66, 108015.84, 108231.19, 109235.33, 108298.23, 108950.27, 111329.2]","[2570.8, 2590.85, 2508.1, 2517.28, 2571.4, 2542.97, 2615.51, 2770.74]"
2025-07-08,2025-07-13,2025-07-15,2025-07-16,,,,,, ,,,"[108298.23, 108950.27, 111329.2, 115986.23, 117530.71, 117432.2, 119115.79, 119850.57]","[2542.97, 2615.51, 2770.74, 2954.83, 2958.33, 2942.85, 2973.23]"
